href,img,title,price
https://btown-b-merch.printify.me/product/25588140/womens-crop-filing-cabinet-t-shirt,https://images-api.printify.com/mockup/693bc569d54d67e6570c71e7/115090/100714/womens-crop-filing-cabinet-t-shirt.jpg?camera_label=front&revision=1765534860813&s=400,Womens Crop Filing Cabinet T-Shirt,$30.58
https://btown-b-merch.printify.me/product/25588139/church-and-amp-cherry-st-bike-womens-crop,https://images-api.printify.com/mockup/693bc831c89068561a00f44a/103833/100714/church-cherry-st-bike-womens-crop.jpg?camera_label=front&revision=1765534860416&s=400,Church & Cherry St Bike Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588137/lake-glass-womens-cut,https://images-api.printify.com/mockup/693bc8af678a8e30f50189ad/115090/100714/lake-glass-womens-cut.jpg?camera_label=front&revision=1765534860254&s=400,Lake Glass Women's Cut,$30.58
https://btown-b-merch.printify.me/product/25588108/zebra-mussel-womens-crop,https://images-api.printify.com/mockup/693bcb41bacbed8a38055471/103853/100714/zebra-mussel-womens-crop.jpg?camera_label=front&revision=1765534765945&s=400,Zebra Mussel Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588106/grade-a-twist-womens-crop,https://images-api.printify.com/mockup/693bca4bb782272738076dde/103838/100714/grade-a-twist-womens-crop.jpg?camera_label=front&revision=1765534766372&s=400,Grade A Twist Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588105/breakwater-lighthouse-womens-cut,https://images-api.printify.com/mockup/693bc988126fcab6dd0e903e/103848/100714/breakwater-lighthouse-womens-cut.jpg?camera_label=front&revision=1765534766564&s=400,Breakwater Lighthouse Women's Cut,$30.58
https://btown-b-merch.printify.me/product/25588104/rats-nest-womens-cut,https://images-api.printify.com/mockup/693bca02126fcab6dd0e9061/103853/100714/rats-nest-womens-cut.jpg?camera_label=front&revision=1765534766187&s=400,Rat's Nest Women's Cut,$30.58
https://btown-b-merch.printify.me/product/25588103/sturgeon-womens-crop,https://images-api.printify.com/mockup/693bcbaff77c83551b07e6b2/103853/100714/sturgeon-womens-crop.jpg?camera_label=front&revision=1765534765824&s=400,Sturgeon Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588102/champus-fossil-womens-crop,https://images-api.printify.com/mockup/693bce9508cea7091a0f4674/103848/100714/champus-fossil-womens-crop.jpg?camera_label=front&revision=1765534765279&s=400,Champus Fossil Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588101/port-of-burlington-womens-crop,https://images-api.printify.com/mockup/693bccdc397e0836b1056774/103848/100714/port-of-burlington-womens-crop.jpg?camera_label=front&revision=1765534766084&s=400,Port of Burlington Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588099/btown-brief-logo-womens-crop,https://images-api.printify.com/mockup/693bcdfb397e0836b10567e7/103853/100714/btown-bref-logo-womens-crop.jpg?camera_label=front&revision=1765534765723&s=400,Btown Brief Logo Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588098/university-of-the-pit-womens-crop,https://images-api.printify.com/mockup/693bcfa8126fcab6dd0e91c8/103853/100714/university-of-the-pit-womens-crop.jpg?camera_label=front&revision=1765534765535&s=400,University of the Pit Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588097/sunset-and-amp-mountains-t-shirt,https://images-api.printify.com/mockup/693bd251b7e514127d091a81/78898/98445/sunset-mountains-t-shirt.jpg?camera_label=front&revision=1765534765623&s=400,Sunset & Mountains T-Shirt,$20.68
https://btown-b-merch.printify.me/product/25588096/burlington-gray-print-t-shirt,https://images-api.printify.com/mockup/693bd6aa08cea7091a0f483d/78893/98445/burlington-gray-print-t-shirt.jpg?camera_label=front&revision=1765534764866&s=400,Burlington Gray Print T-Shirt,$20.68
https://btown-b-merch.printify.me/product/25588095/sunset-and-amp-mountains-womens-crop,https://images-api.printify.com/mockup/693bd3b95cf2e112380081a5/103833/100714/sunset-mountains-womens-crop.jpg?camera_label=front&revision=1765534765005&s=400,Sunset & Mountains Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588094/burlington-gray-t-shirt-embroidered,https://images-api.printify.com/mockup/693b6fa1c89068561a00dbab/78893/98445/burlington-gray-t-shirt-embroidered.jpg?camera_label=front&revision=1765534764972&s=400,Burlington Gray T-Shirt | Embroidered,$38.22
